block_number,sqrt_price_x96
17742548,2454170944655411827308587944
17749748,2457659162160207678328044034
17756948,2491489810893457697627721868
17764148,2484816410759789946833192837
17771348,2472455931766918476095452855
17778548,2442885051934837413179080911
17785748,2438369528801105906369356085
17792948,2439171263309321694641448249
17800148,2447069659981621639772990492
17807348,2477743201211640938785986821
17814548,2654378118927931378653047394
17821748,2680196186792398625883103178
17828948,2658574873242521835388593521
17836148,2590135467691723411441539534
17843348,2518939154358707153551397953
17850548,2509121709488318537745652718
17857748,2552945310243510474783310661
17864948,2534641522648618797246066591
17872148,2540832511187506816656301617
17879348,2561501960746358062593506283
17886548,2925082230384500067692833790
17893748,3132114774143772392571662950
17900948,3106379335785395732835954296
17908148,3013283386762162764786846724
17915348,3101122554690070666997979572
17922548,3184763217284733252169929158
17929748,3180535070533444944088239373
17936948,3432941718439729948675222068
17944148,3786016518317773104756340443
17951348,3998174945597851052464575244
17958548,3844384911484820975044323659
17965748,3795033721679296724650198684
17972948,3530232651320692613015409213
17980148,3683997450043976458688644289
17987348,3512283988135858776450633262
17994548,3384080740567356318506225518
18001748,3609193215946065860900223837
18008948,3594947133106223982284844317
18016148,3456284499474794412099205783
18023348,3534664499544026412529471845
18030548,3485939331269690656768580284
18037748,3440213230155687194333096640
18044948,3431389703177666948000450916
18052148,3462854347514408367400103661
18059348,3468867436770775059787939513
18066548,3604945194358467098040163908
18073748,3717057673273234841991950043
18080948,3762427120577536265786376157
18088148,4007477776299573523842106070
18095348,3939622008964428993685654648
18102548,3989231905167191440520568848
18109748,4203534118235461590285425904
18116948,4072629737076884273386768470
18124148,4061727209487366290370928414
18131348,4048480245461183501177950418
18138548,3961859493172869854170980293
18145748,3840805452151510944836716802
18152948,3820381431754872067415508300
18160148,3738659864742907019318878242
18167348,3663497914606703746709043912
18174548,3744958396280088196770401191
18181748,3776535058070233199025451021
18188948,3798447934005228266406440178
18196148,3765229508238693531967767036
18203348,3744721170797122559021482134
18210548,3735285680970420904981032577
18217748,3676374537962379713225997468
18224948,3741633527135139022034892737
18232148,3817699519080368416254474534
18239348,3786227948414296446627304961
18246548,3734546655380101319774837421
18253748,3733900287542992361007474932
18260948,3716586921914416275303673501
18268148,3657510454578988311784424395
18275348,3653742407857643620814776547
18282548,3561089156530247230060742591
18289748,3486093212603847613251641564
18296948,3400018110139716209304721786
18304148,3389758165677193571376617336
18311348,3304754176653027471946270798
18318548,3298277179629704875381828841
18325748,3338231702969342433905602322
18332948,3333621200278170294338102284
18340148,3348570736964767005693897357
18347348,3371015278753708687886231873
18354548,3408021192665968890771442123
18361748,3431146310114525773582191663
18368948,3512699509709651427060541177
18376148,3648775410620620298607590400
18383348,3566629972571127060198091674
18390548,3582837611571578600998189528
18397748,3629314123626525484997402346
18404948,3613422675687193644317327046
18412148,3613191666061347149049343102
18419348,3446161216519260517840534983
18426548,3478134950039531612188557312
18433748,3386150116023313660447841904
18440948,3360546744980134427749212491
18448148,3236919393221779702285850933
18455348,3183771370810209553646595303
18462548,3190194361915727574769750580
18469748,3216096673312978409172925143
18476948,3144383409083929430070392637
18484148,3262891217243224110884324399
18491348,3140923631653413510863202584
18498548,3152252937406146173768652717
18505748,3135976344166652549801666589
18512948,3233442633253948273712267605
18520148,3362232345612348633275225659
18527348,3652736087164058665441413848
18534548,3733373566542609475204171428
18541748,3624518054136390376879538838
18548948,3743716028360243613705771563
18556148,3835051070609717206109437117
18563348,4015580349683067482008454767
18570548,3852363412498983185638610374
18577748,4469013128661933272990794678
18584948,4383900388538746211277166145
18592148,4284618307063337376552874284
18599348,4275810943904177286454097546
18606548,4723386552569795265796652519
18613748,4851698950349188904109479900
18620948,4730561268452467808972896484
18628148,4789095460345966968816371695
18635348,4825283365106062126604697625
18642548,4812992645218844054335058536
18649748,4768102282747197624891711946
18656948,4934874789501624943804328871
18664148,5004631846954365709014173096
18671348,5020500712826451609340306252
18678548,4878888734428305793747926348
18685748,4936935487300305222583482870
18692948,4999124569188003939505682144
18700148,4846939153281091141370912204
18707348,4723222019516816469299541959
18714548,4578850681143058933536474933
18721748,4523880449594148775123574113
18728948,4730422417106846808939375122
18736148,4636939311485932274528032221
18743348,4427276013619011866635479755
18750548,4328405904287327042898195602
18757748,4497547670605496932267746028
18764948,4685071317192748001491298614
18772148,5005508102335315418015242599
18779348,4846244889193405502065063590
18786548,5171046572764827081398405588
18793748,5415248712958210955115967388
18800948,5046197365537069186686707418
18808148,5021348289396878917437254693
