block_number,sqrt_price_x96
13496498,1227366410212402120673761445058277
13498898,1252090617737383977286695801869922
13501298,1257628148211952074731126313718895
13503698,1253858457956421060391421927566832
13506098,1225438909275104246386177941724870
13508498,1214046859945115450900583370534627
13510898,1207215709647635946355775033288573
13513298,1191061426525370179473873406171047
13515698,1198184122061712926292979654810792
13518098,1201425660462248680239302572597893
13520498,1202842830422683483965018014278336
13522898,1201109507277202763764738018314619
13525298,1218341185622522405046459925252084
13527698,1209727283730992328707031569513391
13530098,1205534056489366621453792245297714
13532498,1210691227104954436491162676813166
13534898,1203989503005306852749196456626761
13537298,1187305312163090803212939962702944
13539698,1181215033066291744721002833562410
13542098,1172734114676346903542212157335119
13544498,1179564002365726671888345224112289
13546898,1169554377325392303805083144277648
13549298,1179275130734180508790066652966562
13551698,1188997347452696363612247235795250
13554098,1179080345206748680664130908443977
13556498,1183763404938318924918910204516648
13558898,1186782402302721495601380472058359
13561298,1179241681056998878178880955669263
13563698,1193627714064907992923392835190868
13566098,1179652313289623335411634160026567
13568498,1177170181288923281388689975244579
13570898,1168138445832849847552544136333531
13573298,1155397671246805253691272585649638
13575698,1151727560000381682370691987551611
13578098,1146304099260004797274443170252932
13580498,1140281658814213879365192903768369
13582898,1142603667645973839947739371750052
13585298,1149702914251802486491133932561742
13587698,1153996447012217216846099368950750
13590098,1142628489832122079859886494970921
13592498,1167061407204091869375861956934496
13594898,1156052537560569752778753545756237
13597298,1149860066338893500221834330793276
13599698,1150441832881747725891371568724709
13602098,1171535833530176621438767600769398
13604498,1157060932960087089795682675962338
13606898,1167287860901321860002891425215495
13609298,1160847114566058965686383147396372
13611698,1163513099786654833062149304827483
13614098,1164911469870037745029714955750670
13616498,1170168082767157526569208178964858
13618898,1155909529512461619582083748177100
13621298,1161034248737064884856609633735513
13623698,1196937030161247552908772854273877
13626098,1224932328400818888720120441403812
13628498,1212197181921501942285461716698438
13630898,1233739051383090021657989945935869
13633298,1217603912919997214973494075178253
13635698,1216982938086487104238503479451590
13638098,1215069990920412254758582451097000
13640498,1250856514567696636149210083010448
13642898,1242517133216090112409222471521745
13645298,1233378444838747184597389349856474
13647698,1211676282294136250877741581198947
13650098,1209349590118310597381942072353486
13652498,1207559493359678497987783914775943
13654898,1191964045283369139808476229556527
13657298,1201264791768149214975962278186573
13659698,1197620130289507787929151550851948
13662098,1224906647606037091298117237188049
13664498,1222477072217212687133500500444549
13666898,1247487072234354647315003618528299
13669298,1232049452911546064008228859784902
13671698,1208966496169137288451831020360469
13674098,1199836449239728995881657331681924
13676498,1206976433067361891643674482000892
13678898,1218032139418720641860855565818630
13681298,1205535461533437020358460991194829
13683698,1188925477815369917621217715401004
13686098,1182175545311868742640543578906289
13688498,1200347931253234346793453749540757
13690898,1240269464657160346074836446437642
13693298,1238556816615197159344141386787650
13695698,1231413217074282521744691365679490
13698098,1233414056380083676836479385072530
13700498,1246013872394982469939224530410063
13702898,1238603832258912583817487036679986
13705298,1209354431991514968509000649188054
13707698,1205561389066587626284988844386446
13710098,1188491919013367920068248068773158
13712498,1187364013333129413339752210096926
13714898,1169246534412745286352832757183857
13717298,1163961493627091122016890861439705
13719698,1150296845477147613909865042887670
13722098,1150137127729321545845970718426866
13724498,1166938563597262733671128517149801
13726898,1171867098992980853431134227612792
13729298,1181665044326634535510092505450340
13731698,1176877953731235958168100772223580
13734098,1170967400250763445905955094298127
13736498,1218342068687146450515733824593551
13738898,1261046371757683588931746138577564
13741298,1246354963079172593430742507985127
13743698,1229724526446482396853075197143769
13746098,1218185599727980755118604152657438
13748498,1230092723198554307813806142790941
13750898,1242484202497120007359794726609601
13753298,1235624442541704769676237937285106
13755698,1199020899884282734479498228464831
13758098,1194383147400946115303768341068333
13760498,1206198654331403832853075666653229
13762898,1206155093113977915209414183124583
13765298,1197624435286741475707393486146793
13767698,1191412358815636519261855924813919
13770098,1202405228370707113619484261724032
13772498,1225241885154761314643745708343849
13774898,1229423551217032753342216785209331
13777298,1226789492526635722774827865609377
13779698,1247766647014863554775332139728602
13782098,1246614307241462493445435580728085
13784498,1247886419776120969029200593578775
13786898,1238789082510984265146418336586386
13789298,1250155461664598749244939301925838
13791698,1243026790077427441155204971046360
13794098,1254778125212865559622039428705043
13796498,1251425218429693417417978422432337
13798898,1291455305897519861967946652059812
13801298,1290535272064627357910653564029403
